Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
281,1.0154523770014445,0.8798521256931608,0.8710878702836857,0.3068,0.2494,0.5495,-0.0154
282,1.0166965564092,0.8786198398028343,0.8691662581293338,0.2983,0.2499,0.5482,-0.0083
283,1.0159359316031138,0.8795440542205791,0.8703103868307351,0.2589,0.2187,0.5180,-0.0160
284,1.015872061252594,0.8826247689463955,0.8742640857281954,0.1536,0.1150,0.4311,-0.0103
285,1.0147212823232015,0.8835489833641405,0.8754048868233799,0.2409,0.2013,0.5118,-0.0091
286,1.013894412914912,0.8860135551447936,0.8778979328923056,0.2645,0.2206,0.5204,-0.0165
287,1.0139775176843007,0.8853974121996303,0.877473138489624,0.2966,0.2549,0.5437,-0.0103
288,1.0146384914716085,0.8897104128157732,0.8823492164750144,0.2539,0.2148,0.4940,-0.0084
289,1.0124322990576426,0.8894023413431916,0.8820548638448966,0.3015,0.2512,0.5499,-0.0158
290,1.0122683187325796,0.8863216266173752,0.8788528491398346,0.3184,0.2676,0.5621,-0.0157
291,1.013719121615092,0.8860135551447936,0.8788946641205831,0.1868,0.1530,0.4571,-0.0105
292,1.0130776286125183,0.8850893407270487,0.8777655727675052,0.3055,0.2604,0.5460,-0.0157
293,1.0133359372615813,0.8863216266173752,0.8791389780780348,0.2264,0.1783,0.4789,-0.0080
294,1.0131484587987265,0.8857054836722119,0.8783472142330438,0.1994,0.1642,0.4659,-0.0089
295,1.011776461203893,0.8872458410351202,0.8795443322334522,0.3033,0.2509,0.5499,-0.0164
296,1.0117547114690144,0.8869377695625386,0.8793706881282151,0.1887,0.1571,0.4744,-0.0100
297,1.0110317627588907,0.8884781269254467,0.880970930158621,0.2262,0.1764,0.4929,-0.0164
298,1.0123717506726584,0.8869377695625386,0.8795650899271925,0.2958,0.2335,0.5297,-0.0158
299,1.0109788497289023,0.8863216266173752,0.879000089689905,0.3241,0.2791,0.5698,-0.0150
300,1.0112272063891092,0.8897104128157732,0.882220298490334,0.2571,0.2147,0.5006,-0.0155
301,1.0105424722035725,0.8875539125077018,0.8799255919629168,0.2677,0.2308,0.5248,-0.0080
302,1.0101198454697926,0.8903265557609366,0.8829451942897063,0.4081,0.3566,0.6278,-0.0131
303,1.0111963272094726,0.8921749845964264,0.8851056368070059,0.2815,0.2337,0.5326,-0.0157
304,1.0102079451084136,0.890018484288355,0.8831843001381747,0.2439,0.2029,0.5069,-0.0177
305,1.0088164110978444,0.8897104128157732,0.8829331050770827,0.2874,0.2367,0.5314,-0.0076
306,1.0098025321960449,0.8897104128157732,0.8825983512181701,0.2673,0.2279,0.5270,-0.0072
307,1.0095619638760884,0.8897104128157732,0.8826335271879474,0.2110,0.1747,0.4887,-0.0077
308,1.0086619357268016,0.8878619839802834,0.880819103871269,0.2834,0.2293,0.5387,-0.0152
309,1.0094655275344848,0.8884781269254467,0.8816219100220417,0.2521,0.1976,0.4918,-0.0175
310,1.008343517780304,0.8903265557609366,0.8836877531401073,0.1673,0.1263,0.4450,-0.0170
311,1.0081993242104847,0.8903265557609366,0.883738088704294,0.2767,0.2237,0.5260,-0.0160
312,1.0081972539424897,0.8912507701786815,0.8850276567806558,0.2910,0.2291,0.5259,-0.0141
313,1.007551505168279,0.8881700554528651,0.8819645197832112,0.2272,0.1776,0.5028,-0.0165
314,1.0083120485146841,0.8884781269254467,0.8821654514186543,0.2536,0.1979,0.4979,-0.0150
315,1.0076358358065287,0.8897104128157732,0.8833064526293274,0.3081,0.2619,0.5522,-0.0001
316,1.0084297378857932,0.88909426987061,0.8827875292840075,0.2577,0.2195,0.5225,-0.0159
317,1.0070561627546946,0.8881700554528651,0.8816557001579187,0.2409,0.2022,0.5048,-0.0077
318,1.007547950744629,0.8894023413431916,0.8829667893996297,0.2721,0.2272,0.5331,-0.0084
319,1.0060317317644756,0.8887861983980283,0.8819575758766733,0.3636,0.3126,0.6017,-0.0143
320,1.0061855455239614,0.8869377695625386,0.8797861211279757,0.3375,0.2867,0.5787,-0.0140
321,1.0073645373185476,0.8857054836722119,0.878417103780825,0.2923,0.2398,0.5432,-0.0071
322,1.0071245829264324,0.8872458410351202,0.8800651978414163,0.3008,0.2562,0.5419,-0.0149
323,1.0075918594996134,0.8872458410351202,0.8805482839826736,0.2040,0.1621,0.4826,-0.0013
324,1.0066066523392996,0.884781269254467,0.8778179487021385,0.2458,0.2056,0.5107,-0.0159
325,1.0059659679730732,0.8838570548367222,0.8764437386685382,0.2310,0.1859,0.4927,-0.0018
326,1.005380779504776,0.884781269254467,0.8774880941694355,0.3083,0.2691,0.5526,-0.0141
327,1.0053634941577911,0.8857054836722119,0.87839819750848,0.2622,0.2063,0.5059,-0.0141
328,1.0060316622257233,0.8857054836722119,0.8783883721035756,0.2745,0.2232,0.5205,-0.0155
329,1.004986733198166,0.8850893407270487,0.8777311180338174,0.2237,0.1868,0.4955,-0.0093
330,1.0058148503303528,0.8863216266173752,0.8789801501614358,0.2636,0.2224,0.5196,-0.0151
331,1.005798617998759,0.8866296980899568,0.8793421100224473,0.2048,0.1597,0.4695,-0.0165
332,1.0036099294821421,0.8872458410351202,0.8799872911264345,0.3234,0.2694,0.5620,-0.0147
333,1.0047583123048147,0.8875539125077018,0.8802629674891858,0.1800,0.1450,0.4561,-0.0160
334,1.0052128851413726,0.8884781269254467,0.8812995203810026,0.2938,0.2390,0.5247,-0.0149
335,1.003858176867167,0.8887861983980283,0.8816748514451451,0.3071,0.2568,0.5440,-0.0144
336,1.0053880532582602,0.8875539125077018,0.8803547736647602,0.2692,0.2185,0.5051,-0.0164
337,1.003754687309265,0.8881700554528651,0.8810219121621616,0.2333,0.1813,0.4900,-0.0158
338,1.0035797198613485,0.8875539125077018,0.880340235696961,0.3170,0.2720,0.5694,-0.0063
339,1.004664170742035,0.8878619839802834,0.8806527744652113,0.3217,0.2779,0.5712,-0.0077
340,1.0041043758392334,0.8878619839802834,0.8806527744652113,0.2577,0.2026,0.5142,-0.0147
341,1.004697565237681,0.8875539125077018,0.8803509137712513,0.2782,0.2265,0.5346,-0.0066
342,1.0029819150765737,0.8875539125077018,0.8803509137712513,0.3406,0.2910,0.5782,-0.0085
343,1.004912825425466,0.8875539125077018,0.8802833213094611,0.2208,0.1725,0.4880,-0.0160
344,1.0048438767592112,0.8875539125077018,0.8802833213094611,0.2968,0.2562,0.5472,0.0226
345,1.0046360154946645,0.8872458410351202,0.8799135514162084,0.2802,0.2383,0.5302,-0.0078
346,1.0033449153105418,0.8875539125077018,0.8802833213094611,0.2636,0.2276,0.5078,0.0166
347,1.003502909342448,0.8872458410351202,0.879981460615501,0.2002,0.1576,0.4861,-0.0163
348,1.0037429869174956,0.8872458410351202,0.879981460615501,0.2505,0.1998,0.5021,-0.0152
349,1.003970241546631,0.8869377695625386,0.8796795244483994,0.3053,0.2575,0.5576,-0.0065
350,1.0037677188714345,0.8869377695625386,0.8796795244483994,0.1837,0.1415,0.4498,-0.0159
351,1.0045126338799795,0.8872458410351202,0.879981460615501,0.2482,0.1974,0.5042,-0.0150
352,1.0052250146865844,0.8872458410351202,0.879981460615501,0.1745,0.1303,0.4465,-0.0167
353,1.004218292236328,0.8872458410351202,0.879981460615501,0.2045,0.1772,0.4795,-0.0097
354,1.0040696144104004,0.8872458410351202,0.879981460615501,0.2781,0.2325,0.5092,-0.0147
355,1.0029771625995636,0.8872458410351202,0.879981460615501,0.1925,0.1459,0.4708,-0.0159
356,1.0038088778654735,0.8872458410351202,0.879981460615501,0.2493,0.2092,0.5140,-0.0077
357,1.0038945138454438,0.8872458410351202,0.879981460615501,0.3348,0.2819,0.5768,-0.0055
358,1.003157804409663,0.8872458410351202,0.879981460615501,0.2769,0.2357,0.5322,-0.0144
359,1.0031332393487296,0.8872458410351202,0.879981460615501,0.2763,0.2312,0.5373,-0.0150
360,1.0031991759936014,0.8872458410351202,0.879981460615501,0.2049,0.1724,0.4774,-0.0099
361,1.0038405577341716,0.8872458410351202,0.879981460615501,0.3442,0.2996,0.5917,-0.0067
362,1.0043293158213298,0.8872458410351202,0.879981460615501,0.2897,0.2430,0.5299,-0.0077
363,1.0065844813982645,0.8872458410351202,0.879981460615501,0.2558,0.2068,0.5112,-0.0149
364,1.0036957879861197,0.8872458410351202,0.879981460615501,0.2164,0.1756,0.4875,-0.0159
365,1.0044709285100302,0.8872458410351202,0.879981460615501,0.2738,0.2289,0.5298,-0.0065
366,1.0038172503312428,0.8872458410351202,0.879981460615501,0.2057,0.1693,0.4763,-0.0083
367,1.0040147125720977,0.8872458410351202,0.879981460615501,0.3141,0.2612,0.5584,-0.0146
368,1.0037349025408426,0.8872458410351202,0.879981460615501,0.2949,0.2497,0.5481,-0.0155
369,1.0044531623522441,0.8872458410351202,0.879981460615501,0.2864,0.2299,0.5356,-0.0066
370,1.0041933953762054,0.8872458410351202,0.879981460615501,0.3418,0.2888,0.5762,-0.0138
