Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
34,1.9189744194348652,0.5576093653727665,0.5438953410112393,0.1902,0.1264,0.4541,0.1266
35,1.8982110142707824,0.5659272951324708,0.5559213870384888,0.1858,0.1217,0.4476,0.1029
36,1.8811486522356669,0.5536044362292052,0.5426066137832382,0.1599,0.1031,0.4210,0.1399
37,1.8558751781781515,0.5628465804066544,0.5526536783221622,0.2168,0.1634,0.5014,0.0872
38,1.8378657738367716,0.5640788662969809,0.555411516846407,0.1639,0.1116,0.4315,0.1251
39,1.817080557346344,0.5730129390018485,0.564379092235427,0.1993,0.1377,0.4749,0.0976
40,1.8090693632761636,0.5560690080098583,0.5471547140984798,0.1598,0.1040,0.4257,0.1148
41,1.7978204607963562,0.5637707948243993,0.5566402950916676,0.1900,0.1408,0.4785,0.0958
42,1.7830342769622802,0.5532963647566236,0.547530019807831,0.1448,0.0949,0.4171,0.1370
43,1.7663750727971395,0.5382008626001232,0.527253173279572,0.1676,0.1248,0.4496,0.0874
44,1.7621669054031373,0.5462107208872459,0.5375128669780406,0.1687,0.1292,0.4500,0.0979
45,1.7683322588602701,0.5237215033887862,0.5178973015131213,0.1811,0.1438,0.4687,0.0921
46,1.7511664708455403,0.5391250770178682,0.534038846846934,0.1425,0.1102,0.4313,0.0885
47,1.7486775795618692,0.5489833641404805,0.5429359501533363,0.1745,0.1437,0.4721,0.0620
48,1.7516551534334819,0.532347504621072,0.5269656240676611,0.1621,0.1328,0.4570,0.0666
49,1.742412761847178,0.5212569316081331,0.5174906417337365,0.1588,0.1360,0.4627,0.0566
50,1.7351831396420796,0.5095502156500308,0.5047215118489926,0.1422,0.1247,0.4576,0.0560
51,1.7229582866032918,0.5132470733210105,0.5091266867449363,0.1435,0.1250,0.4542,0.0507
52,1.7132001956303915,0.5132470733210105,0.508455042445678,0.1288,0.1076,0.4311,0.0621
53,1.7034310579299927,0.5283425754775107,0.5231463163766652,0.1230,0.1048,0.4298,0.0461
54,1.7055224378903706,0.5292667898952557,0.5235298666070505,0.1068,0.0837,0.4118,0.0677
55,1.7093638062477112,0.5181762168823167,0.512050481389582,0.0886,0.0745,0.3870,0.0909
56,1.72348606189092,0.5163277880468269,0.5093591811163307,0.0600,0.0440,0.3458,0.1785
57,1.7383406599362692,0.5126309303758472,0.505324532986942,0.0224,0.0134,0.3127,0.2590
58,1.7405470371246339,0.5212569316081331,0.512181284245895,0.0365,0.0284,0.3262,0.1545
59,1.7426915129025777,0.5351201478743068,0.5267719613279812,0.0322,0.0252,0.3230,0.2252
60,1.7375254114468892,0.5391250770178682,0.5309995098027609,0.0343,0.0270,0.3260,0.2399
61,1.7047671993573508,0.5492914356130623,0.5412758241033789,0.0391,0.0310,0.3275,0.1715
62,1.6749236583709717,0.5539125077017868,0.5455344415829475,0.0635,0.0474,0.3511,0.2032
63,1.6474611282348632,0.5594577942082564,0.5501211910289399,0.0463,0.0355,0.3404,0.2274
64,1.6222072800000509,0.5653111521873074,0.556477860042378,0.0671,0.0467,0.3526,0.1795
65,1.5978502790133158,0.5705483672211953,0.5617807339006593,0.0213,0.0123,0.3122,0.3338
66,1.572119084993998,0.5822550831792976,0.5721692554785643,0.0390,0.0244,0.3268,0.2883
67,1.5509481191635133,0.581022797288971,0.5710186698473821,0.0363,0.0245,0.3316,0.2118
68,1.5333874026934307,0.5908810844115835,0.5814319195534275,0.0322,0.0184,0.3211,0.2926
69,1.5134227395057678,0.6001232285890327,0.590036534633553,0.0374,0.0226,0.3249,0.3146
70,1.4873884717623393,0.6062846580406654,0.5951696198409023,0.0232,0.0131,0.3130,0.3017
71,1.4708399573961894,0.6115218730745533,0.6001201914933245,0.0211,0.0116,0.3111,0.3207
72,1.4569735169410705,0.6216882316697474,0.6108268500554668,0.0404,0.0244,0.3290,0.3296
73,1.4359091560045878,0.6247689463955638,0.6134522893121112,0.0132,0.0069,0.3069,0.3471
74,1.4191667517026265,0.6318545902649415,0.6219652272595482,0.0727,0.0457,0.3541,0.2577
75,1.4051547368367514,0.6386321626617375,0.6277726190314917,0.0215,0.0114,0.3120,0.3738
76,1.3953763365745544,0.6383240911891559,0.6267430895194431,0.0483,0.0319,0.3398,0.3482
77,1.3794834613800049,0.6392483056069008,0.6269504067345135,0.0273,0.0186,0.3226,0.3409
78,1.367299747467041,0.6401725200246458,0.6263006379456239,0.0166,0.0082,0.3095,0.3852
79,1.3552674770355224,0.6460258780036968,0.6328927389127366,0.0413,0.0233,0.3317,0.3055
80,1.3466728885968526,0.6555760936537277,0.6423119977820517,0.0107,0.0045,0.3045,0.3420
81,1.334907384713491,0.6632778804682686,0.6493723702800113,0.0205,0.0105,0.3140,0.2996
82,1.3253724296887717,0.6780653111521873,0.6650644936527537,0.0330,0.0239,0.3277,0.2970
83,1.3158956706523894,0.6792975970425139,0.6654191814543787,0.0366,0.0207,0.3277,0.3340
84,1.3052509566148123,0.680837954405422,0.6660968682000821,0.0422,0.0287,0.3372,0.3041
